train_loss,train_acc,test_loss,test_acc,lr
0.9812399616241455,65.37,0.9674770298004151,65.98,1e-05
0.977991932067871,65.378,0.9663365039825439,65.84,1e-05
0.9809173180389404,65.446,0.966343611907959,66.0,1e-05
0.9768718611907959,65.196,0.9656323246002197,65.85,1e-05
0.9802971225547791,65.506,0.9625293560028076,66.34,1e-05
0.9822289003753663,65.384,0.9613191005706787,66.28,1e-05
0.9780283248901367,65.46,0.9631202487945557,66.23,1e-05
0.9776274526596069,65.506,0.9637746398925782,66.07,1e-05
0.9751791094970703,65.734,0.9633058135986328,65.92,1e-05
0.9688577114868164,65.908,0.9635719871520996,66.11,1e-05
0.97690674949646,65.388,0.9580548152923584,66.36,1e-05
0.9728281309509277,65.554,0.9603496891021729,66.36,1e-05
0.9704141931152344,65.474,0.962312585067749,66.01,1e-05
0.9731021363067627,65.732,0.960013134765625,66.26,1e-05
0.9710699810028076,65.678,0.9586133728027344,66.32,1e-05
0.9687801233673096,65.79,0.9566190795898437,66.49,1e-05
0.9685269314575196,65.502,0.9579286613464355,66.33,1e-05
0.9671828179168701,65.766,0.9591591274261475,66.26,1e-05
0.9709214738464356,65.516,0.9580709312438965,66.35,1e-05
0.9708933874511719,65.412,0.9576160125732421,66.33,1e-05
0.9698786212921142,65.7,0.9569970809936523,66.25,1e-05
0.9679508807373047,65.726,0.9522320583343505,66.64,1e-05
0.9665362679290771,65.936,0.9541890571594238,66.46,1e-05
0.9697537828063965,65.594,0.9576031635284424,66.31,1e-05
0.9681749761962891,65.654,0.9526155242919921,66.54,1e-05
0.9659969319152832,65.994,0.9538864547729492,66.29,1e-05
0.9622476918029785,65.878,0.9510769989013672,66.68,1e-05
0.9655598944091797,65.826,0.9542612529754638,66.42,1e-05
0.962141346359253,65.998,0.9523007064819335,66.52,1e-05
0.9645690550994873,66.06,0.9509617599487304,66.49,1e-05
0.9637610097503662,65.9,0.9507450031280518,66.55,1e-05
0.9611202112579346,66.034,0.9501278530120849,66.6,1e-05
0.9636561217498779,65.714,0.9522574337005615,66.58,1e-05
0.9584804891204834,66.14,0.9493971477508545,66.73,1.0000000000000002e-06
0.9620651943206787,65.924,0.9510509830474854,66.66,1.0000000000000002e-06
0.959968528289795,65.978,0.9494953380584716,66.71,1.0000000000000002e-06
0.9582950636291504,65.946,0.9482610084533691,66.65,1.0000000000000002e-06
0.9585577927398682,66.252,0.9470456764221191,66.74,1.0000000000000002e-06
0.9622343236541748,65.882,0.9517332336425781,66.43,1.0000000000000002e-06
0.9568251020812988,66.222,0.9523429706573486,66.48,1.0000000000000002e-06
0.9573776007080078,66.154,0.9496027683258057,66.42,1.0000000000000002e-06
0.9583104149627686,65.988,0.9462165889739991,66.61,1.0000000000000002e-06
0.9602330883026123,65.904,0.9478649097442627,66.56,1.0000000000000002e-06
0.9602141670227051,65.992,0.9494566188812256,66.68,1.0000000000000002e-06
0.9595959008026123,65.856,0.9512560894012451,66.71,1.0000000000000002e-06
0.9569112239837646,66.122,0.9463820075988769,66.68,1.0000000000000002e-06
0.9553819134521484,66.22,0.9492840270996094,66.6,1.0000000000000002e-06
0.9588590556335449,66.23,0.9514409214019776,66.72,1.0000000000000002e-06
0.9564408833312988,66.252,0.9491249992370605,66.68,1.0000000000000002e-06
0.959337314491272,65.942,0.9499968318939209,66.58,1.0000000000000002e-06
0.9588089116668701,66.018,0.9466587039947509,66.86,1.0000000000000002e-06
0.958312416229248,66.182,0.95043860206604,66.73,1.0000000000000002e-06
0.9554921429443359,66.16,0.9485600196838379,66.61,1.0000000000000002e-06
0.9568558232879638,66.212,0.9477481754302979,66.64,1.0000000000000002e-06
0.9590019847869873,66.074,0.9468786098480224,66.81,1.0000000000000002e-06
0.9545430835723877,66.178,0.9519114971160889,66.53,1.0000000000000002e-06
0.9573617546081543,66.278,0.9461024631500244,66.84,1.0000000000000002e-06
0.9574478830718994,66.12,0.9470882202148437,66.7,1.0000000000000002e-06
0.956966237411499,66.22,0.9483522289276123,66.9,1.0000000000000002e-06
0.9574417755126953,66.0,0.9455744899749756,66.68,1.0000000000000002e-06
0.9586025032806397,65.944,0.9464053623199463,66.73,1.0000000000000002e-06
0.9544291274261475,66.164,0.948030460357666,66.81,1.0000000000000002e-06
0.9586219178009033,65.966,0.9475426601409912,66.63,1.0000000000000002e-06
0.9564917914581299,66.02,0.9465538105010987,66.7,1.0000000000000002e-06
0.9573869886779786,66.198,0.9464503864288331,66.73,1.0000000000000002e-06
0.9611795847320557,66.13,0.9452530609130859,66.61,1.0000000000000002e-06
0.9568637048721313,66.378,0.9472735301971436,66.77,1.0000000000000002e-06
0.9587067584991456,66.028,0.9469994606018066,66.73,1.0000000000000002e-06
0.9582533511352539,66.0,0.9512515323638916,66.77,1.0000000000000002e-06
0.9596959255218506,66.12,0.9463852840423584,66.85,1.0000000000000002e-06
0.9549044158935547,66.236,0.9466464321136474,66.7,1.0000000000000002e-06
0.9576697245788575,65.948,0.9475359703063965,66.53,1.0000000000000002e-06
0.9579223886871338,65.91,0.9464594818115234,66.7,1.0000000000000002e-06
0.9584821389007568,65.968,0.9454298648834228,66.9,1.0000000000000002e-07
0.9572657015228272,66.256,0.9468175163269043,66.91,1.0000000000000002e-07
0.9576419454956054,65.834,0.9465969688415528,66.67,1.0000000000000002e-07
0.960870131072998,66.248,0.9513373687744141,66.81,1.0000000000000002e-07
0.9567186687469482,66.122,0.9475245643615723,66.55,1.0000000000000002e-07
0.951112663192749,66.366,0.9463218769073486,66.75,1.0000000000000002e-07
0.9652475993347168,65.678,0.9534656784057617,66.68,1.0000000000000002e-07
0.9582855061340332,66.146,0.9446588684082031,66.73,1.0000000000000002e-07
0.9575028653717041,66.112,0.9479651248931885,66.89,1.0000000000000002e-07
0.9530857218933105,66.322,0.9493992752075195,66.77,1.0000000000000002e-07
0.9540043147277832,66.238,0.9450644329071045,66.87,1.0000000000000002e-07
0.9593839786529541,66.228,0.9477821079254151,66.59,1.0000000000000002e-07
0.9596018216705322,66.102,0.9482541320800781,66.59,1.0000000000000002e-07
0.962085579071045,65.82,0.9483322109222412,66.62,1.0000000000000002e-07
