train_loss,train_acc,test_loss,test_acc,lr
2.1438405072784423,21.492,2.071214069366455,26.14,0.00010089999999999999
1.884955167427063,34.066,1.6999235582351684,44.3,0.00020079999999999997
1.6922134593963623,44.32,1.5904128910064697,49.89,0.0003007
1.607602774734497,48.52,1.5169072458267212,52.99,0.00040060000000000003
1.5685202578353883,50.076,1.5059412979125977,52.91,0.0005005000000000001
1.5516179892349242,51.292,1.5092774517059326,53.79,0.0006004000000000002
1.5454139254379273,51.672,1.522955362701416,52.36,0.0007003000000000002
1.536427379989624,52.0,1.4676484804153442,55.18,0.0008002000000000002
1.527304719696045,52.454,1.4669167238235474,55.46,0.0009001000000000001
1.5388690154266358,52.18,1.5076556497573852,53.29,0.001
1.5323481949234008,52.368,1.4860065238952638,54.54,0.0009999898262443912
1.5105819702911376,53.136,1.4477452346801758,56.7,0.000999959305395768
1.4854813353729248,54.328,1.412510687828064,57.23,0.000999908438708723
1.465580384902954,55.482,1.4206345008850099,57.49,0.0009998372282741866
1.444423399734497,56.542,1.3527941925048828,60.96,0.0009997456770193406
1.4275837307739259,57.25,1.4087544208526612,57.59,0.0009996337887074986
1.4102830883026123,58.238,1.3493007680892943,61.33,0.0009995015679379509
1.3930083826446533,59.01,1.3393855579376222,61.55,0.0009993490201457753
1.386178860244751,59.426,1.3631895345687866,60.87,0.0009991761516016143
1.3665491581726075,60.076,1.3271113891601563,62.87,0.0009989829694114166
1.3524552152252198,60.876,1.312959055709839,62.9,0.0009987694815161454
1.3432101390838622,61.51,1.2884010917663575,64.18,0.0009985356966914515
1.3361042624282837,61.746,1.2959832326889038,63.87,0.000998281624547314
1.3278505625915527,62.194,1.260699610900879,65.55,0.0009980072755276434
1.3112599393463136,62.88,1.2671790155410767,64.59,0.000997712660909853
1.3123420691299439,62.928,1.2640464126586914,65.12,0.0009973977928043965
1.2978968855667115,63.628,1.266184641265869,65.29,0.0009970626841542677
1.295757022895813,63.582,1.256462974357605,66.22,0.0009967073487344713
1.2801191570281982,64.358,1.2736194589614869,64.94,0.0009963318011514542
1.2749855780029298,64.75,1.2502465175628663,66.08,0.0009959360568425068
1.2705682436370849,64.792,1.2512242528915405,65.31,0.0009955201320751277
1.2598324910354615,65.316,1.208118422317505,67.92,0.0009950840439463548
1.2522182146835328,65.828,1.2309340507507325,66.64,0.0009946278103820632
1.248449677886963,65.938,1.2359818630218506,66.87,0.000994151450136228
1.2423903638839722,66.358,1.1965087476730347,68.22,0.0009936549827901527
1.233114919090271,66.624,1.1847328002929687,68.89,0.0009931384287516654
1.2322478623962403,66.722,1.2026974090576172,68.29,0.0009926018092542798
