train_loss,train_acc,test_loss,test_acc,lr
0.5258864869117736,82.37,0.14435296499729156,95.29,9.829629131445342e-05
0.4191933197402954,85.79,0.15130295207500458,94.96,9.330127018922195e-05
0.3982604173851013,86.534,0.14993685349226,94.84,8.535533905932738e-05
0.3810049399852753,87.034,0.13413597934246063,95.41,7.500000000000001e-05
0.35349802052497864,88.1,0.13291383056640624,95.49,6.294095225512605e-05
0.3318556673240662,88.57,0.14321791075468063,95.33,5.000000000000001e-05
0.30423310415267946,89.51,0.115339923620224,96.31,3.705904774487398e-05
0.2685003021717072,90.808,0.10978429965972901,96.57,2.5000000000000018e-05
0.23299357852458955,92.03,0.0890280394911766,97.31,1.4644660940672632e-05
0.20534138488769532,92.904,0.08314492138624191,97.54,6.698729810778067e-06
0.1839105188846588,93.674,0.07703295109272003,97.82,1.7037086855465907e-06
0.17268716035842896,93.96,0.07041882470846177,98.1,0.0
